fund_name,year,month,average_nav
ABSL Frontline Equity Fund - Regular - Growth,2022,1,310.2722
ABSL Frontline Equity Fund - Regular - Growth,2022,2,311.1672
ABSL Frontline Equity Fund - Regular - Growth,2022,3,305.8103
ABSL Frontline Equity Fund - Regular - Growth,2022,4,307.3698
ABSL Frontline Equity Fund - Regular - Growth,2022,5,306.4016
ABSL Frontline Equity Fund - Regular - Growth,2022,6,315.3872
ABSL Frontline Equity Fund - Regular - Growth,2022,7,325.4926
ABSL Frontline Equity Fund - Regular - Growth,2022,8,329.8225
ABSL Frontline Equity Fund - Regular - Growth,2022,9,320.1043
ABSL Frontline Equity Fund - Regular - Growth,2022,10,310.2841
ABSL Frontline Equity Fund - Regular - Growth,2022,11,329.8188
ABSL Frontline Equity Fund - Regular - Growth,2022,12,341.2585
ABSL Frontline Equity Fund - Regular - Growth,2023,1,346.5104
ABSL Frontline Equity Fund - Regular - Growth,2023,2,353.1664
ABSL Frontline Equity Fund - Regular - Growth,2023,3,350.6683
ABSL Frontline Equity Fund - Regular - Growth,2023,4,359.5624
ABSL Frontline Equity Fund - Regular - Growth,2023,5,364.0178
ABSL Frontline Equity Fund - Regular - Growth,2023,6,338.6028
ABSL Frontline Equity Fund - Regular - Growth,2023,7,336.3953
ABSL Frontline Equity Fund - Regular - Growth,2023,8,343.4518
ABSL Frontline Equity Fund - Regular - Growth,2023,9,356.9496
ABSL Frontline Equity Fund - Regular - Growth,2023,10,379.1576
ABSL Frontline Equity Fund - Regular - Growth,2023,11,377.4879
ABSL Frontline Equity Fund - Regular - Growth,2023,12,384.2952
ABSL Frontline Equity Fund - Regular - Growth,2024,1,399.2102
ABSL Frontline Equity Fund - Regular - Growth,2024,2,405.6997
ABSL Frontline Equity Fund - Regular - Growth,2024,3,420.5963
ABSL Frontline Equity Fund - Regular - Growth,2024,4,410.474
ABSL Frontline Equity Fund - Regular - Growth,2024,5,436.7962
ABSL Frontline Equity Fund - Regular - Growth,2024,6,446.1404
ABSL Frontline Equity Fund - Regular - Growth,2024,7,433.2893
ABSL Frontline Equity Fund - Regular - Growth,2024,8,421.5311
ABSL Frontline Equity Fund - Regular - Growth,2024,9,434.5145
ABSL Frontline Equity Fund - Regular - Growth,2024,10,427.2909
ABSL Frontline Equity Fund - Regular - Growth,2024,11,449.9358
ABSL Frontline Equity Fund - Regular - Growth,2024,12,457.2508
