fund_name,expense_ratio_pct,category
Nippon India Gilt Securities Fund - Regular - Growth,0.55,Debt
HDFC Short Term Debt Fund - Regular - Growth,0.56,Debt
Kotak Liquid Fund - Regular - Growth,0.6,Debt
SBI Bluechip Fund - Direct Plan - Growth,0.66,Equity
SBI Small Cap Fund - Direct Plan - Growth,0.72,Equity
Nippon India Large Cap Fund - Direct - Growth,0.72,Equity
ICICI Pru Liquid Fund - Regular - Growth,0.74,Debt
Axis Bluechip Fund - Direct - Growth,0.75,Equity
SBI Magnum Gilt Fund - Regular Plan - Growth,0.77,Debt
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.78,Equity
ABSL Liquid Fund - Regular - Growth,0.79,Debt
ICICI Pru Bluechip Fund - Direct - Growth,0.8,Equity
Nippon India ETF Nifty 50 BeES,0.89,Equity
HDFC Top 100 Fund - Direct Plan - Growth,0.92,Equity
