fund_name,highest_nav,lowest_nav,nav_spread
Kotak Liquid Fund - Regular - Growth,4268.5497,3180.6318,1087.9179
HDFC Top 100 Fund - Direct Plan - Growth,1286.0621,529.6352,756.4269
ABSL Frontline Equity Fund - Regular - Growth,808.0982,297.0795,511.0187
DSP Top 100 Equity Fund - Regular - Growth,658.5042,296.9505,361.5537
ICICI Pru Midcap Fund - Regular - Growth,476.3696,133.1682,343.2014
HDFC Mid-Cap Opportunities Fund - Regular - Growth,367.6979,93.5553,274.1426
UTI Flexi Cap Fund - Regular - Growth,419.3008,149.9155,269.3853
DSP Small Cap Fund - Regular - Growth,336.6937,73.6757,263.018
HDFC Top 100 Fund - Regular Plan - Growth,669.7236,411.1759,258.5477
Kotak Bluechip Fund - Regular - Growth,484.6292,246.6585,237.9707
SBI Small Cap Fund - Regular Plan - Growth,322.0353,88.0925,233.9428
ICICI Pru Value Discovery Fund - Regular - Growth,410.2909,202.0343,208.2566
DSP Midcap Fund - Regular - Growth,257.6666,72.9664,184.7002
Nippon India ETF Nifty 50 BeES,333.8906,150.4968,183.3938
Mirae Asset Large Cap Fund - Regular - Growth,251.6557,70.2514,181.4043
Axis Midcap Fund - Regular - Growth,211.7678,61.5099,150.2579
Kotak Flexicap Fund - Regular - Growth,180.7074,44.8104,135.897
Mirae Asset Emerging Bluechip Fund - Regular - Growth,209.3612,79.3949,129.9663
ICICI Pru Bluechip Fund - Direct - Growth,164.2321,59.4577,104.7744
UTI Nifty 50 Index Fund - Regular - Growth,187.9295,83.5999,104.3296
ICICI Pru Liquid Fund - Regular - Growth,388.5939,285.7447,102.8492
SBI Bluechip Fund - Regular Plan - Growth,151.4373,50.0295,101.4078
ABSL Liquid Fund - Regular - Growth,410.1021,310.6977,99.4044
HDFC Mid-Cap Opportunities Fund - Direct - Growth,193.5136,99.5501,93.9635
SBI Small Cap Fund - Direct Plan - Growth,165.7647,78.6152,87.1495
SBI Bluechip Fund - Direct Plan - Growth,139.4982,56.4224,83.0758
Nippon India Small Cap Fund - Regular - Growth,138.9727,58.3669,80.6058
Nippon India Large Cap Fund - Regular - Growth,114.4385,42.8033,71.6352
Mirae Asset Tax Saver Fund - Regular - Growth,97.7435,28.311,69.4325
ICICI Pru Bluechip Fund - Regular - Growth,118.8713,55.3983,63.473
Axis Small Cap Fund - Regular - Growth,106.8214,48.0021,58.8193
UTI Mid Cap Fund - Regular - Growth,169.8164,114.1285,55.6879
Nippon India Large Cap Fund - Direct - Growth,92.6175,45.1271,47.4904
ABSL Small Cap Fund - Regular - Growth,80.3517,36.9015,43.4502
Axis Bluechip Fund - Direct - Growth,59.9798,33.0339,26.9459
Kotak Emerging Equity Fund - Regular - Growth,83.298,58.0567,25.2413
Axis Bluechip Fund - Regular - Growth,56.6987,35.1288,21.5699
SBI Magnum Gilt Fund - Regular Plan - Growth,55.2211,41.7962,13.4249
Nippon India Gilt Securities Fund - Regular - Growth,37.8243,30.1152,7.7091
HDFC Short Term Debt Fund - Regular - Growth,32.6726,26.1366,6.536
