fund_id,VaR_95,CVaR_95
Fund_1,-0.02458554137576162,-0.03184486862278247
Fund_10,-0.02564514095800379,-0.031384858188948116
Fund_11,-0.018906374630029,-0.025470865261404806
Fund_12,-0.021490340073734973,-0.027575065858755646
Fund_13,-0.024136796773446937,-0.027462619328745358
Fund_14,-0.02995031790015366,-0.03552383344945965
Fund_15,-0.02333315324904653,-0.028711655364725346
Fund_16,-0.025781123714254846,-0.03186384425280093
Fund_17,-0.027014815100100193,-0.03596544637516261
Fund_18,-0.024478741967239377,-0.029233636756212437
Fund_19,-0.023156360828533604,-0.02875594451001404
Fund_2,-0.02568911282277225,-0.03143691894948939
Fund_20,-0.02351651234475038,-0.029736220626248307
Fund_21,-0.02056070563186468,-0.03126609526077543
Fund_22,-0.023537802329959175,-0.03018204438010882
Fund_23,-0.02126839855227968,-0.024609427031750092
Fund_24,-0.018988228548103173,-0.023997039002623982
Fund_25,-0.025306793244844607,-0.03351952929554045
Fund_26,-0.021422236276355654,-0.02925544566772655
Fund_27,-0.022738482332201073,-0.02742370868380514
Fund_28,-0.020170745091779716,-0.03099225209535053
Fund_29,-0.020750055054115035,-0.028058083394467703
Fund_3,-0.026181661270358144,-0.032582384608875144
Fund_30,-0.019425341016556272,-0.02483078280552232
Fund_31,-0.02367088918820428,-0.028047118294376283
Fund_32,-0.02859502967173977,-0.03502620368860651
Fund_33,-0.027531427031256658,-0.031604826177043716
Fund_34,-0.02381132555838693,-0.0257398095062648
Fund_35,-0.025104631687746733,-0.03328452330050744
Fund_36,-0.021601955124136735,-0.025199280713550567
Fund_37,-0.02778320713993923,-0.03542988519321865
Fund_38,-0.02301013248817766,-0.032124939132983754
Fund_39,-0.028091061456396636,-0.03477613458014747
Fund_4,-0.024847364472109605,-0.02858128816723703
Fund_40,-0.020931696327613172,-0.023530780925573952
Fund_5,-0.021489173544141746,-0.027995675675256956
Fund_6,-0.02629761230945017,-0.03089538482106798
Fund_7,-0.02229546223023011,-0.027481315366221518
Fund_8,-0.02371480784331285,-0.03406539206140874
Fund_9,-0.021784617746056254,-0.026256645960710073
